Brand Type,Color Name,Short Description,Long Description,Hex Colour,Hex Text,RGB Text,CMYK Text,RAL Color,Related Color 1 ,Related Color 2,Related Color 3
Lamborghini,Arancia Atlas,Lamborghini's shiny orange color.,Lamborghini's Arancia Atlas is a shiny orange color that pops in the sunlight. It is best based with Nero accents.,#FC9303,#FC9303,"rgb(252,147,3)","0, 42, 99, 1",RAL 1033,Arancio Xanto,Arancio Bruciato,Arancio Borealis
Lamborghini,Bianco Isi,Lamborghini's shiny white color. ,"Lamborghini's Bianco Isi is an Aventador specific classy white color, that pairs well with both silver and black accents.",#C0CBCD,#C0CBCD,"rgb(192,203,205)","6, 1, 0, 20",RAL 7035,Bianco Avorio,Pearl White,Bianco Asopo
Lamborghini,Blu Nila,Lamborghini's shiny blue color. ,"Lamborghini's Blu Nila was popularized on the Aventador, and is a shiny blue that can be paired with Nero, silver, or Rosso accents.",#017EF4,#017EF4,"rgb(1,126,244)
","100, 48, 0, 4",RAL 5014,Blu Le Mans,Blu Caelum,Blu Fontus
Lamborghini,Nero Aldebaran,Lamborghini's shiny black color. ,"Lamborghini’s Nero Aldebaran is classic solid black that is specific only to the Avendator. The stealth look conceals itself well if needed, but also pops in the sunlight. Nero Aldebaran pairs well with additional accent colors such as Giallo, Rosso, or Blu accents.",#0D1015,#0D1015,"rgb(13,16,21)","38, 24, 0, 92",RAL 9005,Nero Granatus,Nero Pegaso,Nero Nemesis
Lamborghini,Giallo Orion,Lamborghini's shiny yellow color.,"Lamborghini's Giallo Orion was first seen on the Murcielago, and has since transitioned into the Aventador's shiny yellow color. It is best paired with Nero, or Rosso accents.",#FEA700,#FEA700,"rgb(254,167,0)","0, 34, 100, 0",RAL 1003,Giallo Inti,Giallo Auge,Giallo Tenerife
Lamborghini,Rosso Mars,Lamborghini's shiny red color.,"Lamborghini's Rosso Mars is a common shiny red option for the Aventador, Huracan, and Urus alike. This color pops well with Giallo or Nero acents and shows the true Lamborghini ethos. ",#D40000,#D40000,"rgb(212,0,0)","0, 100, 100, 17",RAL 3028,Rosso Efesto,Rosso Efesto,Rosso Bia
Lamborghini,Verde Mantis,Lamborghini's shiny green color. ,"Lamborghini's Verde Mantis is a classic shiny green option primarily for the Huracan. This color represents Lamborghini's bright and bold ethos perfectly, and will guarantee you road precense. ",#7DC23B,#7DC23B,"rgb(125,194,59)","36, 0, 70, 24",RAL 6018,Verde Selvans,Verde Gea Lucido,Verde Citrea
Lamborghini,Arancio Xanto,Lamborghini's sportiva orange color.,"Lamborghini's Arancio Xanto is a fire orange color that is seen on both the Huracan and Aventador. It is known to pop in the sun, and looks stunning with Nero accents.",#E64A37,#E64A37,"rgb(230,74,55)
","0, 68, 76, 10",RAL 2012,Arancia Atlas,Arancio Borealis,Arancio Bruciato
Lamborghini,Bianco Asopo,Lamborghini's sportiva white color.,"Lamborghini's Bianco Asopo is a classic white that is seen primarily as a color option for the Aventador SVJ. It is a very versatile paint color, and can be paired with different accent types.",#F3FAFD,#F3FAFD,"rgb(243,250,253)","4, 1, 0, 1",RAL 9003,Bianco Isi,Bianco Comes,Bianco Monocerus
Lamborghini,Blu Nethuns,Lamborghini's sportiva blue color.,"Lamborghini's Blu Nethuns is a striking blue that pairs well with stealth Nero accents. It is a common Huracan option, but is also seen on Aventador models.",#1336EA,#1336EA,"rgb(19,54,234)","92, 77, 0, 8",RAL 5000,Blu Uranus,Blu Caelum,Blu Le Mans
